n_target,n_actual,seed,model_name,r2,rmse
700,700,2,PGSGv2-random,0.6719003903121071,1.5797608507495813
700,700,2,PLS,0.5519539229639894,1.846077077401549
700,700,2,MLP,0.6560625366404614,1.617440197071069
700,700,2,CNN1D-shallow,0.572693211838019,1.802844985172473
1159,1158,2,PGSGv2,0.7692565227601962,1.3248088074839168
1159,1158,2,PGSGv2-random,0.7992597622685637,1.2356791172459298
1159,1158,2,PLS,0.5683505213598066,1.8119829236579335
1159,1158,2,MLP,0.7010514134899044,1.5079493080784587
1159,1158,2,CNN1D-shallow,0.6593398495170532,1.609715615738342
30,30,3,PGSGv2,0.13071961848302394,2.5713928342868084
30,30,3,PGSGv2-random,0.17269379317327882,2.5085434714727546
30,30,3,PLS,-0.2801543027072515,3.120467403577955
30,30,3,MLP,-1.8292831052839702,4.639024789865898
30,30,3,CNN1D-shallow,0.0292624285223555,2.7173113926631345
60,60,3,PGSGv2,0.14107714220833556,2.5560277845061408
60,60,3,PGSGv2-random,0.15586691111546958,2.5339261436687703
60,60,3,PLS,-0.13721875029150143,2.9411047733159212
60,60,3,MLP,-1.3189218523824668,4.199828407272258
60,60,3,CNN1D-shallow,0.1662051499670435,2.5183616333325296
100,100,3,PGSGv2,0.21434385773188713,2.444582763427677
100,100,3,PGSGv2-random,0.31233351334151993,2.287059271571925
100,100,3,PLS,0.3026133947299512,2.303166266428405
100,100,3,MLP,-0.14213999170952274,2.947461624935912
100,100,3,CNN1D-shallow,0.2371276327035453,2.4088759310307637
200,200,3,PGSGv2,0.432602172947843,2.0774583439010126
200,200,3,PGSGv2-random,0.4177960028533121,2.1043892837611824
200,200,3,PLS,0.4532741504170624,2.0392632567664943
200,200,3,MLP,0.10370518201817447,2.611042452056554
200,200,3,CNN1D-shallow,0.20216845922095594,2.463451922338208
400,400,3,PGSGv2,0.5644008653945058,1.820254000951485
400,400,3,PGSGv2-random,0.5902323424653524,1.7654577499712876
400,400,3,PLS,0.5319261165240263,1.8868861433665003
400,400,3,MLP,0.5111043063246546,1.928397661332629
400,400,3,CNN1D-shallow,0.5162995195080892,1.9181243101029037
700,700,3,PGSGv2,0.6782613018364405,1.564372382451586
700,700,3,PGSGv2-random,0.6534237161490688,1.6236331527001746
700,700,3,PLS,0.5528738363185028,1.8441809515029677
700,700,3,MLP,0.6578976872827338,1.6131193295335726
700,700,3,CNN1D-shallow,0.5940255349293533,1.7572673879022687
1159,1158,3,PGSGv2,0.7959704248247016,1.2457619241077098
1159,1158,3,PGSGv2-random,0.8038799658450337,1.2213762486208126
1159,1158,3,PLS,0.5683505213598066,1.8119829236579335
1159,1158,3,MLP,0.76970059435622,1.323533379689342
1159,1158,3,CNN1D-shallow,0.7474421822691109,1.3860180890275362
30,30,4,PGSGv2,0.1491132462682655,2.5440425546820484
30,30,4,PGSGv2-random,0.16586756345066578,2.518871398351198
30,30,4,PLS,-0.24714775301171654,3.079976794920753
30,30,4,MLP,-7.018432673647686,7.809679902288778
30,30,4,CNN1D-shallow,-5.8513290484086005,7.21898107191581
60,60,4,PGSGv2,0.08128288775448533,2.6435004765523886
60,60,4,PGSGv2-random,0.10000524152202983,2.6164261450654434
60,60,4,PLS,-0.19741838244277732,3.0179459026677375
60,60,4,MLP,-2.1961325333876385,4.930612587299022
60,60,4,CNN1D-shallow,-0.035918315387769795,2.807057093617293
100,100,4,PGSGv2,0.09223349832865402,2.6276987010144706
